,username,tweet_content,n_favorites,timestamp,mentions
2014,Pericosvoladors,RT @meca_josea: ¿Y si el @RCDEspanyol hiciera magia y consigue que la próxima temporada los porteros de todas las categorías luciesen el es…,0,Fri Apr 29 18:51:34 +0000 2022,"['meca_josea', 'RCDEspanyol']"
2015,meca_josea,¿Y si el @RCDEspanyol hiciera magia y consigue que la próxima temporada los porteros de todas las categorías lucies… https://t.co/KvfNe2Bdv5,114,Fri Apr 29 18:49:46 +0000 2022,['RCDEspanyol']
2016,salem20torres,"RT @RCDEspanyol: 🌎 ¡El #RCDE Stadium volverá a acoger un partido internacional!

@SeleccionPeru 🆚 @NZ_Football
🗓️ 5 de junio de 2022
🕠17:30…",0,Fri Apr 29 18:49:44 +0000 2022,"['RCDEspanyol', 'SeleccionPeru', 'NZ_Football']"
2017,IvanMolero,"El Espanyol debe viajar a 1996 para atrasar el alirón del Madrid

📝 @diarioas #rcde #RealMadridEspanyol 

https://t.co/IgISzix7Cc",3,Fri Apr 29 18:48:44 +0000 2022,['diarioas']
2018,Lolo_Alonso_,RT @OldRcd: 20 de Abril de 1988...Noches mágicas en Sarriá...RCDE 3 Brujas 0 #RCDE https://t.co/GeAfMLdH56,0,Fri Apr 29 18:46:52 +0000 2022,['OldRcd']
2019,lagradaonline,"📝 El Espanyol ha entrenado con el sistema 5-3-2 en la sesión previa al encuentro en el Santiago Bernabéu

👉 Esta fo… https://t.co/Qi6sAxt0Pw",17,Fri Apr 29 18:45:58 +0000 2022,[]
2020,javifv1993,"Pericos con Catalunya en el Campeonato de España.

Sub 14.
Axel Barberà (Portero)
Samuel Puyo (MC)
Abdou Kemo (DC)… https://t.co/PsFouWypbl",2,Fri Apr 29 18:45:48 +0000 2022,[]
2021,Lamaravillosami,"El año que viene tenemos que cambiar de entrenador, que me parece que Vicente ha cumplido su misión, pero para aspi… https://t.co/uq06hAYIL8",1,Fri Apr 29 18:44:22 +0000 2022,[]
2022,BirrasLovers_,"¿Vosotros lo venderiais por 40, por 60 o por 80 millones? Poco nos parece..... #RCDE https://t.co/4ITOhvJV0H",3,Fri Apr 29 18:42:42 +0000 2022,[]
2023,Lamaravillosami,"Mañana jugamos contra el Real Madrid, no es que les tenga especial rabia, pero si es un punto a favor ganarles #rcde",1,Fri Apr 29 18:41:04 +0000 2022,[]
2024,BarbuIcc,RT @OldRcd: 20 de Abril de 1988...Noches mágicas en Sarriá...RCDE 3 Brujas 0 #RCDE https://t.co/GeAfMLdH56,0,Fri Apr 29 18:39:00 +0000 2022,['OldRcd']
2025,pcfutbol,@rcdestats1 @SanchezAlaminos Gracias a todo Twitter #RCDE 🔵⚪ que siempre me recibís de maravilla.,1,Fri Apr 29 18:37:01 +0000 2022,"['rcdestats1', 'SanchezAlaminos']"
2026,RHospitalet,RT @OldRcd: 20 de Abril de 1988...Noches mágicas en Sarriá...RCDE 3 Brujas 0 #RCDE https://t.co/GeAfMLdH56,0,Fri Apr 29 18:34:14 +0000 2022,['OldRcd']
2027,MarioJimenezB_,"RCD Espanyol - PERICOS

Todo empezó cuando los catalanes se mudaron a Sarriá, su hogar durante más de 70 años (1923… https://t.co/5thG9vj6c0",264,Fri Apr 29 18:26:44 +0000 2022,[]
2028,JohnDVer,"RT @RCDEspanyol: 🌎 ¡El #RCDE Stadium volverá a acoger un partido internacional!

@SeleccionPeru 🆚 @NZ_Football
🗓️ 5 de junio de 2022
🕠17:30…",0,Fri Apr 29 18:23:23 +0000 2022,"['RCDEspanyol', 'SeleccionPeru', 'NZ_Football']"
2029,Ptorras62,RT @rcdeperico81: Probablemente la noche más mágica del @RCDEspanyol? Más que la final diría #rcde,0,Fri Apr 29 18:22:34 +0000 2022,"['rcdeperico81', 'RCDEspanyol']"
2030,Ptorras62,RT @OldRcd: 20 de Abril de 1988...Noches mágicas en Sarriá...RCDE 3 Brujas 0 #RCDE https://t.co/GeAfMLdH56,0,Fri Apr 29 18:21:26 +0000 2022,['OldRcd']
2031,BielitoKeen22,"RT @pericoquevola: 🔮 Twitter haz tu magia 

#RCDE https://t.co/6tz9L3Vei6",0,Fri Apr 29 18:13:16 +0000 2022,['pericoquevola']
2032,teodiorufete,#RCDE 21/22 parte 1 https://t.co/AMG8PJ6pyy,45,Fri Apr 29 18:09:21 +0000 2022,[]
2033,JessExposito3,RT @lacontra_dep: Lista de convocados para el #RealMadridEspanyol con las bajas de Keidi Bare y Óscar Gil. Miguelón entra en la convocatori…,0,Fri Apr 29 18:08:25 +0000 2022,['lacontra_dep']
2034,deharojavier61,"🚨🚨 Ya podéis escuchar @TIEMPODESPANYOL Donde no hemos hablado, por fin, del DD, y sí del posible pacto de caballero… https://t.co/KCiYTmAtui",15,Fri Apr 29 18:05:15 +0000 2022,['TIEMPODESPANYOL']
2035,JessExposito3,"RT @lagradaonline: ‼️ Adrià Pedrosa es baja para visitar al Real Madrid

❌ El equipo blanquiazul contará con tres ausencias en el Santiago…",0,Fri Apr 29 18:05:10 +0000 2022,['lagradaonline']
2036,Aitorjim5,La jornada 33 se cerró con 24 goles anotados y 5 balones a los postes. El @RCDEspanyol ocupa la cuarta posición de… https://t.co/G7fCI1R9Fg,2,Fri Apr 29 17:57:14 +0000 2022,['RCDEspanyol']
2037,JessExposito3,RT @SanchezAlaminos: Fotón que colgó @pcfutbol . Un segundo antes de un gol histórico #RCDE https://t.co/qhg1TEBGWg,0,Fri Apr 29 17:48:08 +0000 2022,"['SanchezAlaminos', 'pcfutbol']"
2038,oriol14sanchis,Vamos a jugar en el Bernabéu con Aleix Vidal y Dídac de laterales y nos la pela. #RCDE https://t.co/o6nT43dsEp,1,Fri Apr 29 17:42:16 +0000 2022,[]
2039,IBiwenger,"📋 CONVOCATORIA del Espanyol:
Vicente Moreno cita a 23 jugadores para enfrentarse al Real Madrid en una lista sin Pe… https://t.co/AqodPwUPuw",0,Fri Apr 29 17:41:33 +0000 2022,[]
2040,miki_iotov,RT @Brian_n11: Osasuna y Valencia. Quedan dos partidos en el #RCDE Stadium y todavía se desconoce el futuro de Melendo. El Espanyol haría b…,0,Fri Apr 29 17:39:53 +0000 2022,['Brian_n11']
2041,RCDEBrisbane,"RT @fcp_espanyol: Tant si escrius en català como si lo haces en castellano (or in English if you prefer 😜 @PERICOZ, @RCDEBrisbane, @ESCE_RC…",0,Fri Apr 29 17:36:05 +0000 2022,"['fcp_espanyol', 'PERICOZ', 'RCDEBrisbane']"
2042,SanchezAlaminos,Fotón que colgó @pcfutbol . Un segundo antes de un gol histórico #RCDE https://t.co/qhg1TEBGWg,51,Fri Apr 29 17:32:13 +0000 2022,['pcfutbol']
2043,Jorge18994756,"@esport3 @LaLiga De escándalo en escándalo...El Rubi, el Gerri y el Tebi. #rcde",5,Fri Apr 29 17:29:11 +0000 2022,"['esport3', 'LaLiga']"
2044,PERICOZ,"RT @fcp_espanyol: Tant si escrius en català como si lo haces en castellano (or in English if you prefer 😜 @PERICOZ, @RCDEBrisbane, @ESCE_RC…",0,Fri Apr 29 17:27:07 +0000 2022,"['fcp_espanyol', 'PERICOZ', 'RCDEBrisbane']"
2045,Brian_n11,Osasuna y Valencia. Quedan dos partidos en el #RCDE Stadium y todavía se desconoce el futuro de Melendo. El Espanyo… https://t.co/FRgYQqAdAl,10,Fri Apr 29 17:16:14 +0000 2022,[]
2046,diegoseindstboi,"RT @rcde9barris: A #rcde lo ningunea la Prensa central, la del régimen, los árbitros, la @rfef el Tebas y su putamadre...pero vamos, q muy…",0,Fri Apr 29 17:15:57 +0000 2022,"['rcde9barris', 'rfef']"
2047,AlexCaceres_R,"RT @RCDEspanyol: 🌎 ¡El #RCDE Stadium volverá a acoger un partido internacional!

@SeleccionPeru 🆚 @NZ_Football
🗓️ 5 de junio de 2022
🕠17:30…",0,Fri Apr 29 17:14:06 +0000 2022,"['RCDEspanyol', 'SeleccionPeru', 'NZ_Football']"
2048,Jessica16695689,"RT @RCDEspanyol: 🌎 ¡El #RCDE Stadium volverá a acoger un partido internacional!

@SeleccionPeru 🆚 @NZ_Football
🗓️ 5 de junio de 2022
🕠17:30…",0,Fri Apr 29 17:07:06 +0000 2022,"['RCDEspanyol', 'SeleccionPeru', 'NZ_Football']"
2049,Rafa_Tormo_,"RT @cromosvintage84: #CromoVintage
Xavier Escaich Ferrer temporada 1988-1989 de Ediciones Este @RCDEspanyol @VeteransRCDE #RCDE | #RCDEspan…",0,Fri Apr 29 17:05:26 +0000 2022,"['cromosvintage84', 'RCDEspanyol', 'VeteransRCDE']"
2050,goalkeapper,"RT @lagradaonline: ‼️ Adrià Pedrosa es baja para visitar al Real Madrid

❌ El equipo blanquiazul contará con tres ausencias en el Santiago…",0,Fri Apr 29 17:03:02 +0000 2022,['lagradaonline']
2051,danimonti77,"Somos unos desgraciados, al final tendremos más bajas que ellos #rcde https://t.co/quSa9jByeX",1,Fri Apr 29 16:59:36 +0000 2022,[]
2052,RCDE_sorare,RT @francescviapol: Dídac. Esta no la vimos venir. #RCDE,0,Fri Apr 29 16:58:09 +0000 2022,['francescviapol']
2053,JpLucano,"RT @RCDEspanyol: 🌎 ¡El #RCDE Stadium volverá a acoger un partido internacional!

@SeleccionPeru 🆚 @NZ_Football
🗓️ 5 de junio de 2022
🕠17:30…",0,Fri Apr 29 16:55:08 +0000 2022,"['RCDEspanyol', 'SeleccionPeru', 'NZ_Football']"
2054,lagradaonline,"‼️ Adrià Pedrosa es baja para visitar al Real Madrid

❌ El equipo blanquiazul contará con tres ausencias en el Sant… https://t.co/0ogdkDZ1yu",19,Fri Apr 29 16:53:39 +0000 2022,[]
2055,tonmarvig24,https://t.co/xuPSDO53yz Que traigan esos 5000 millones aquí… #RCDE,0,Fri Apr 29 16:50:52 +0000 2022,[]
2056,DudasFootball,"(#RCDE) CONVOCATORIA #RealMadridEspanyol 

❌Pedrosa se queda fuera de la convocatoria. https://t.co/semxuXY7pY",0,Fri Apr 29 16:47:03 +0000 2022,[]
2057,RaulMonje11,"El #RCDE viaja a Madrid con las bajas por lesión de Keidi Bare (distensión en la rodilla), Óscar Gil y Adrià Pedros… https://t.co/nv3PXiHd06",10,Fri Apr 29 16:45:53 +0000 2022,[]
2058,Albertopg1980,"@AlexPerezEsc Cualquier otro equipo ganaría, nosotros seremos el bufón de la fiesta. #RCDE",3,Fri Apr 29 16:45:26 +0000 2022,['AlexPerezEsc']
2059,francescviapol,Dídac. Esta no la vimos venir. #RCDE https://t.co/F0GxxqUxhY,63,Fri Apr 29 16:39:46 +0000 2022,[]
2060,IvanMolero,"El Espanyol va a Madrid con RdT, pero sin su ala izquierda

✍️ @super_martinez

📝 @diarioas #rcde… https://t.co/JS8Pz8DNJV",0,Fri Apr 29 16:38:14 +0000 2022,"['super_martinez', 'diarioas']"
2061,Jorge18994756,Muy de acuerdo con la editorial 💪. Ahora solo falta que los jugadores la hagan suya....🤷🏻‍♂️. #RCDE https://t.co/LUbIhO2XXu,1,Fri Apr 29 16:37:35 +0000 2022,[]
2062,Pereferpe,"RT @JoanCami: LISTA #RCDE | 23 convocados para viajar a Madrid. Óscar Gil, Keidi Bare y Pedrosa, por lesión, son baja. El equipo viaja esta…",0,Fri Apr 29 16:35:32 +0000 2022,['JoanCami']
2063,pericos_marca,"Lista de convocados para viajar a Madrid.

#RCDE #RealMadridEspanyol

https://t.co/vFnDZ2bUXI",1,Fri Apr 29 16:33:13 +0000 2022,[]
2064,lacontra_dep,Lista de convocados para el #RealMadridEspanyol con las bajas de Keidi Bare y Óscar Gil. Miguelón entra en la convo… https://t.co/KBNeKgcLDJ,3,Fri Apr 29 16:32:21 +0000 2022,[]
2065,JornadaPerfecta,Convocatoria y once posible del #RCDE frente al #RealMadrid https://t.co/NCnM4Samp5,1,Fri Apr 29 16:32:03 +0000 2022,[]
2066,javiernicolas,@RCDEspanyol @EstrellaDammCat Sin Pedrosa ni Óscar Gil… 🤦🏻‍♂️ #RCDE,1,Fri Apr 29 16:30:51 +0000 2022,"['RCDEspanyol', 'EstrellaDammCat']"
2067,JoanCami,"LISTA #RCDE | 23 convocados para viajar a Madrid. Óscar Gil, Keidi Bare y Pedrosa, por lesión, son baja. El equipo… https://t.co/JPyEByOpRE",12,Fri Apr 29 16:30:42 +0000 2022,[]
2068,IvanMolero,"⚠️ Pierde el Espanyol a Pedrosa para el Bernabéu.

🔎 Puede entrar Dídac en la alineación o, muy probablemente, tras… https://t.co/UTzOhw7QQM",1,Fri Apr 29 16:30:33 +0000 2022,[]
2069,lacontra_dep,Bajas importantes en el Real Madrid para enfrentarse al @RCDEspanyol #rcde https://t.co/xd7UjjULlr,1,Fri Apr 29 16:30:28 +0000 2022,['RCDEspanyol']
2070,candelamc98,"Pedrosa baja sensible para mañana vs @realmadrid 

#rcde https://t.co/3Qgto0Mglg",4,Fri Apr 29 16:29:47 +0000 2022,['realmadrid']
2071,oriolpafi,Jajajaja Dídac titular!!! Estem morts #RCDE,1,Fri Apr 29 16:29:38 +0000 2022,[]
2072,IsauraValle_,"Pedrosa se queda fuera.

#RCDE https://t.co/3aSGOLuGsa",2,Fri Apr 29 16:28:50 +0000 2022,[]
2073,maxrojasp21,"Si mañana no ganamos con Vallejo de central en el equipo contrario, me compro un disfraz de Pocoyó. #rcde",0,Fri Apr 29 16:25:22 +0000 2022,[]
2074,Jorge18994756,"Ja, ja, ja, ja....Otro “canterano”. #rcde https://t.co/Yr2ApuJu6t",0,Fri Apr 29 16:21:42 +0000 2022,[]
2075,tomjosespirall,RT @OldRcd: 20 de Abril de 1988...Noches mágicas en Sarriá...RCDE 3 Brujas 0 #RCDE https://t.co/GeAfMLdH56,0,Fri Apr 29 16:11:39 +0000 2022,['OldRcd']
2076,StarColombo,RT @David07nekoser: #orbeamonegros #bicicletaperica #rcde #mmr en Monegros 🚲🤍💙🤍💙 https://t.co/asTwZNZcvR,0,Fri Apr 29 16:09:37 +0000 2022,['David07nekoser']
2077,ReyesCalvo,"RT @alfurbol: ⚽️Esta jornada el #RealMadrid cantará el #Alirón de 
#LaLiga frente al #RCDE #RCDEspanyol #RCDEspañol si suma un punto o el #…",0,Fri Apr 29 16:03:40 +0000 2022,['alfurbol']
2078,Jorge18994756,@diarioas Ya no les dan el #BalonDeOro...?? #rcde,0,Fri Apr 29 15:59:43 +0000 2022,['diarioas']
2079,IvanMolero,"RT @super_martinez: 🌟Una generación con estrella: Embarba, Carvajal, Lucas, Morata, Sarabia, Álex Fernández...

📈El extremo perico, al que…",0,Fri Apr 29 15:56:12 +0000 2022,['super_martinez']
2080,fcp_espanyol,"Tant si escrius en català como si lo haces en castellano (or in English if you prefer 😜 @PERICOZ, @RCDEBrisbane,… https://t.co/TiijXfFgVN",6,Fri Apr 29 15:53:51 +0000 2022,"['PERICOZ', 'RCDEBrisbane']"
2081,diariosdefutbol,"RT @cromosvintage84: #CromoVintage
Xavier Escaich Ferrer temporada 1988-1989 de Ediciones Este @RCDEspanyol @VeteransRCDE #RCDE | #RCDEspan…",0,Fri Apr 29 15:52:44 +0000 2022,"['cromosvintage84', 'RCDEspanyol', 'VeteransRCDE']"
2082,safiroanejo,RT @David07nekoser: #orbeamonegros #bicicletaperica #rcde #mmr en Monegros 🚲🤍💙🤍💙 https://t.co/asTwZNZcvR,0,Fri Apr 29 15:51:52 +0000 2022,['David07nekoser']
